sub_0
Epoch: [143/1000], classify_loss: 0.8449, domain_loss_s: 0.7012, domain_loss_t: 0.7310, domain_loss: 1.4322,total_loss: 2.2772, acc_loss: 0.4845
Epoch: [144/1000], classify_loss: 0.8441, domain_loss_s: 0.7015, domain_loss_t: 0.7310, domain_loss: 1.4326,total_loss: 2.2767, acc_loss: 0.4851
Epoch: [145/1000], classify_loss: 0.8433, domain_loss_s: 0.7019, domain_loss_t: 0.7311, domain_loss: 1.4330,total_loss: 2.2762, acc_loss: 0.4848
Epoch: [146/1000], classify_loss: 0.8424, domain_loss_s: 0.7022, domain_loss_t: 0.7312, domain_loss: 1.4333,total_loss: 2.2758, acc_loss: 0.4854
Epoch: [147/1000], classify_loss: 0.8416, domain_loss_s: 0.7025, domain_loss_t: 0.7312, domain_loss: 1.4337,total_loss: 2.2753, acc_loss: 0.4860
Epoch: [148/1000], classify_loss: 0.8408, domain_loss_s: 0.7028, domain_loss_t: 0.7313, domain_loss: 1.4341,total_loss: 2.2748, acc_loss: 0.4875
Epoch: [149/1000], classify_loss: 0.8400, domain_loss_s: 0.7031, domain_loss_t: 0.7313, domain_loss: 1.4344,total_loss: 2.2744, acc_loss: 0.4884
Epoch: [150/1000], classify_loss: 0.8391, domain_loss_s: 0.7034, domain_loss_t: 0.7314, domain_loss: 1.4348,total_loss: 2.2739, acc_loss: 0.4884
Epoch: [151/1000], classify_loss: 0.8383, domain_loss_s: 0.7037, domain_loss_t: 0.7314, domain_loss: 1.4352,total_loss: 2.2735, acc_loss: 0.4893
Epoch: [152/1000], classify_loss: 0.8375, domain_loss_s: 0.7040, domain_loss_t: 0.7315, domain_loss: 1.4355,total_loss: 2.2731, acc_loss: 0.4893
Epoch: [153/1000], classify_loss: 0.8367, domain_loss_s: 0.7043, domain_loss_t: 0.7315, domain_loss: 1.4359,total_loss: 2.2726, acc_loss: 0.4901
Epoch: [154/1000], classify_loss: 0.8360, domain_loss_s: 0.7046, domain_loss_t: 0.7316, domain_loss: 1.4362,total_loss: 2.2722, acc_loss: 0.4904
Epoch: [155/1000], classify_loss: 0.8352, domain_loss_s: 0.7049, domain_loss_t: 0.7316, domain_loss: 1.4366,total_loss: 2.2717, acc_loss: 0.4904
Epoch: [156/1000], classify_loss: 0.8344, domain_loss_s: 0.7052, domain_loss_t: 0.7317, domain_loss: 1.4369,total_loss: 2.2713, acc_loss: 0.4910
Epoch: [157/1000], classify_loss: 0.8336, domain_loss_s: 0.7055, domain_loss_t: 0.7317, domain_loss: 1.4373,total_loss: 2.2709, acc_loss: 0.4913
Epoch: [158/1000], classify_loss: 0.8328, domain_loss_s: 0.7058, domain_loss_t: 0.7318, domain_loss: 1.4376,total_loss: 2.2704, acc_loss: 0.4913
Epoch: [159/1000], classify_loss: 0.8321, domain_loss_s: 0.7061, domain_loss_t: 0.7318, domain_loss: 1.4379,total_loss: 2.2700, acc_loss: 0.4913
Epoch: [160/1000], classify_loss: 0.8313, domain_loss_s: 0.7064, domain_loss_t: 0.7318, domain_loss: 1.4382,total_loss: 2.2695, acc_loss: 0.4919
